,45-3000,Fishing and Hunting Workers,,
,45-4000,"Forest, Conservation, and Logging Workers",,
47-0000,,Construction and Extraction Occupations,,
,47-1000,Supervisors of Construction and Extraction Workers,,
,47-2000,Construction Trades Workers,,
,47-3000,"Helpers, Construction Trades",,
,47-4000,Other Construction and Related Workers,,
,47-5000,Extraction Workers,,
49-0000,,"Installation, Maintenance, and Repair Occupations",,
,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",,
,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",,
,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",,
,49-9000,"Other Installation, Maintenance, and Repair Occupations",,
51-0000,,Production Occupations,,
,51-1000,Supervisors of Production Workers,,
,51-2000,Assemblers and Fabricators,,
,51-3000,Food Processing Workers,,
,51-4000,Metal Workers and Plastic Workers,,
,51-5100,Printing Workers,,
,51-6000,"Textile, Apparel, and Furnishings Workers",,
,51-7000,Woodworkers,,
,51-8000,Plant and System Operators,,
,51-9000,Other Production Occupations,,
53-0000,,Transportation and Material Moving Occupations,,
,53-1000,Supervisors of Transportation and Material Moving Workers,,
,53-2000,Air Transportation Workers,,
,53-3000,Motor Vehicle Operators,,
,53-4000,Rail Transportation Workers,,
,53-5000,Water Transportation Workers,,
,53-6000,Other Transportation Workers,,
,53-7000,Material Moving Workers,,
55-0000,,Military Specific Occupations,,
,55-1000,Military Officer Special and Tactical Operations Leaders,,
,55-2000,First-Line Enlisted Military Supervisors,,
,55-3000,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,,
